,state_mw,incar_rate_scaled,viol_crime_scaled,clusters,cluster
79,5.15,0.3067081794142723,0.37610556464642286,2,dark purple
80,4.25,0.32348043750971556,0.7407491561025381,2,dark purple
81,5.15,0.34976471215486526,0.49664760008454323,2,dark purple
82,5.15,0.3963245078921318,0.470970943570137,2,dark purple
83,5.15,0.17620769795030355,0.07824442000128329,2,dark purple
84,2.8,0.3969252109527588,0.35173159558326006,1,purple
85,2.0,0.6303120404481888,0.503968819975853,1,purple
86,6.5,0.33093253150582314,0.29252732638269663,0,pink
87,5.15,0.3222042229026556,0.4021306987851858,2,dark purple
88,6.15,0.32508803997188807,0.28558699414134026,2,dark purple
89,0.0,0.5579260177910328,0.822682585567236,1,purple
90,5.15,0.3870143089443445,0.17752950079739094,2,dark purple
91,0.0,0.31602149829268456,0.7178491447120905,1,purple
92,5.15,0.7013227790594101,0.5797416437417269,2,dark purple
93,5.15,0.1847947365604341,0.23667525965720415,2,dark purple
94,6.25,0.22079532500356436,0.106747483368963,2,dark purple
95,5.15,0.4245022777467966,0.2916643628850579,2,dark purple
96,6.9,0.26805405505001545,0.3455380443483591,0,pink
97,5.15,0.1980736618861556,0.2338654361665249,2,dark purple
98,5.15,0.3982946276664734,0.22497596219182014,2,dark purple
99,5.15,0.3289697924628854,0.27343984693288803,2,dark purple
100,0.0,0.613136775791645,0.42922236025333405,1,purple
101,7.15,0.6898253690451384,0.598044041544199,0,pink
102,0.0,0.5571386311203241,0.5132973659783602,1,purple
103,5.15,0.44241202995181084,0.456379447132349,2,dark purple
104,6.75,0.4562115762382746,0.579625740647316,0,pink
105,5.15,0.4276950377970934,0.34648794680833817,2,dark purple
106,6.9,0.516868568956852,0.31675156205892563,0,pink
107,6.15,0.8103489875793457,0.6752908229827881,2,dark purple
108,0.0,0.468222564086318,0.7310940884053707,1,purple
109,5.15,0.5440928507596254,0.45450562611222267,2,dark purple
110,6.25,0.4403586033731699,0.2722711768001318,2,dark purple
111,5.15,0.4065736662596464,0.2459338866174221,2,dark purple
112,5.15,0.34325006417930126,0.5563721526414156,2,dark purple
113,5.15,0.34429801162332296,0.3523146966472268,2,dark purple
114,5.15,0.29048502910882235,0.27787445578724146,2,dark purple
115,2.65,0.3364667994901538,0.39749909192323685,1,purple
116,5.15,0.28313416987657547,0.24845872540026903,2,dark purple
117,0.0,0.43389974161982536,0.6369411014020443,1,purple
118,6.25,0.15077852876856923,0.10861553018912673,2,dark purple
119,5.15,0.4311803728342056,0.7034800481051207,2,dark purple
120,6.75,0.15307560097426176,0.4731356631964445,0,pink
121,5.15,0.4895478952676058,0.5112888291478157,2,dark purple
122,4.9,0.1494617434218526,0.2629452617838979,2,dark purple
123,0.0,0.5503029562532902,0.3238749457523227,1,purple
124,5.15,0.5221705883741379,0.49075009301304817,2,dark purple
125,4.0,0.3325139405205846,0.3649702528491616,2,dark purple
126,5.15,0.2344206441193819,0.2938171848654747,2,dark purple
127,5.15,0.4720349330455065,0.6160448305308819,2,dark purple
128,5.15,0.1883285935036838,0.1503059291280806,2,dark purple
129,5.15,0.2975789597257972,0.3643427276983857,2,dark purple
130,4.25,0.33126401249319315,0.667265709489584,2,dark purple
131,5.15,0.34034226555377245,0.465771509334445,2,dark purple
132,5.15,0.4022472072392702,0.45412820763885975,2,dark purple
133,5.15,0.173665932379663,0.08020208333618939,2,dark purple
134,2.8,0.3877534531056881,0.3338526701554656,1,purple
135,2.0,0.647032679989934,0.5064353812485933,1,purple
136,6.9,0.34247671719640493,0.2947538625448942,0,pink
137,5.15,0.33044854644685984,0.39779283106327057,2,dark purple
138,6.15,0.33231605775654316,0.28566543478518724,2,dark purple
139,0.0,0.5529866553843021,0.8063886314630508,1,purple
140,5.15,0.3946895245462656,0.17374706221744418,2,dark purple
141,0.0,0.3274648217484355,0.6913184188306332,1,purple
142,5.15,0.6924553774297237,0.5530648864805698,2,dark purple
143,5.15,0.1965461764484644,0.2503699855878949,2,dark purple
144,6.25,0.24073896929621696,0.1141532207839191,2,dark purple
145,5.15,0.4197394009679556,0.27819701936095953,2,dark purple
146,7.01,0.2646584762260318,0.3469412215054035,0,pink
147,5.15,0.20922580733895302,0.2554321428760886,2,dark purple
148,5.15,0.40467348881065845,0.22110629361122847,2,dark purple
149,5.15,0.3246294101700187,0.26169512420892715,2,dark purple
150,0.0,0.5664723925292492,0.42701433412730694,1,purple
151,7.15,0.6893143989145756,0.6323023233562708,0,pink
152,0.0,0.5641930736601353,0.5044008605182171,1,purple
153,5.15,0.4573454614728689,0.5023272708058357,2,dark purple
154,6.75,0.45739305205643177,0.5278019700199366,0,pink
155,5.15,0.4271135199815035,0.37204837426543236,2,dark purple
156,7.1,0.514237629249692,0.2890282543376088,0,pink
157,6.15,0.8135468699038029,0.615009106695652,2,dark purple
158,0.0,0.4783603362739086,0.7118259556591511,1,purple
159,5.15,0.5730350036174059,0.45095779933035374,2,dark purple
160,6.25,0.44013108126819134,0.2545708557590842,2,dark purple
161,5.15,0.4127184394747019,0.24743035901337862,2,dark purple
162,5.5,0.34655400086194277,0.5456648301333189,2,dark purple
163,5.15,0.3530694404616952,0.3259275574237108,2,dark purple
164,5.15,0.2886988455429673,0.28781837318092585,2,dark purple
165,2.65,0.3288952633738518,0.3778765443712473,1,purple
166,5.15,0.32164487056434155,0.24510875809937716,2,dark purple
167,0.0,0.4320248495787382,0.640026992186904,1,purple
168,6.25,0.15308159636333585,0.1037274138070643,2,dark purple
169,5.15,0.418766587972641,0.7005695719271898,2,dark purple
170,6.75,0.15333875780925155,0.46023475006222725,0,pink
171,5.15,0.4832739941775799,0.49224053509533405,2,dark purple
172,4.9,0.15663548838347197,0.26981018017977476,2,dark purple
173,0.0,0.5639540962874889,0.2953700488433242,1,purple
174,5.15,0.5327168852090836,0.49007455818355083,2,dark purple
175,4.0,0.29161092825233936,0.2937686163932085,2,dark purple
176,5.15,0.23671055678278208,0.30857627280056477,2,dark purple
177,5.15,0.4729310981929302,0.6163578480482101,2,dark purple
178,5.15,0.18804328283295035,0.16949295531958342,2,dark purple
