,Year,State,state_mw,state_mw_2020,fed_mw,fed_mw_2020,effective_mw,effective_mw_2020,prisoner_count,state_population,violent_crime,murder,robbery,burglary,incarceration_rate,rate_rank,avg_rate_of_year,viol_crime_rate
91,2002,Tennessee,0.0,0.0,5.15,7.4,5.15,7.4,18297.0,5789796.0,41562.0,420.0,9413.0,61248.0,0.003160215,Medium,0.003896469,0.0071784914
92,2002,Texas,5.15,7.4,5.15,7.4,5.15,7.4,152446.0,21736924.0,126018.0,1302.0,37580.0,212602.0,0.007013228,Unusually High,0.003896469,0.0057974164
93,2002,Utah,5.15,7.4,5.15,7.4,5.15,7.4,4285.0,2318789.0,5488.0,47.0,1140.0,15124.0,0.0018479474,Low,0.003896469,0.0023667526
94,2002,Vermont,6.25,8.99,5.15,7.4,6.25,8.99,1361.0,616408.0,658.0,13.0,77.0,3489.0,0.0022079533,Low,0.003896469,0.0010674748
95,2002,Virginia,5.15,7.4,5.15,7.4,5.15,7.4,30937.0,7287829.0,21256.0,388.0,6961.0,31757.0,0.004245023,Medium,0.003896469,0.0029166436
96,2002,Washington,6.9,9.92,5.15,7.4,6.9,9.92,16263.0,6067060.0,20964.0,184.0,5797.0,54948.0,0.0026805406,Low,0.003896469,0.0034553804
97,2002,West Virginia,5.15,7.4,5.15,7.4,5.15,7.4,3575.0,1804884.0,4221.0,57.0,657.0,9677.0,0.0019807366,Low,0.003896469,0.0023386544
98,2002,Wisconsin,5.15,7.4,5.15,7.4,5.15,7.4,21666.0,5439692.0,12238.0,154.0,4713.0,27926.0,0.0039829463,Medium,0.003896469,0.0022497596
99,2002,Wyoming,5.15,7.4,5.15,7.4,5.15,7.4,1641.0,498830.0,1364.0,15.0,93.0,2448.0,0.003289698,Medium,0.003896469,0.0027343985
100,2003,Alabama,0.0,0.0,5.15,7.24,5.15,7.24,27614.0,4503726.0,19331.0,299.0,6038.0,43245.0,0.0061313678,High,0.0039382335,0.0042922236
101,2003,Alaska,7.15,10.05,5.15,7.24,7.15,10.05,4472.0,648280.0,3877.0,39.0,446.0,3874.0,0.0068982537,High,0.0039382335,0.0059804404
102,2003,Arizona,0.0,0.0,5.15,7.24,5.15,7.24,31084.0,5579222.0,28638.0,441.0,7619.0,58613.0,0.0055713863,High,0.0039382335,0.0051329737
103,2003,Arkansas,5.15,7.24,5.15,7.24,5.15,7.24,12068.0,2727774.0,12449.0,180.0,2227.0,25016.0,0.0044241203,Medium,0.0039382335,0.0045637945
104,2003,California,6.75,9.49,5.15,7.24,6.75,9.49,161785.0,35462710.0,205551.0,2407.0,63770.0,242274.0,0.0045621158,Medium,0.0039382335,0.0057962574
105,2003,Colorado,5.15,7.24,5.15,7.24,5.15,7.24,19450.0,4547633.0,15757.0,185.0,3738.0,32394.0,0.0042769504,Medium,0.0039382335,0.0034648795
106,2003,Connecticut,6.9,9.7,5.15,7.24,6.9,9.7,18023.0,3486960.0,11045.0,112.0,4212.0,16043.0,0.0051686857,High,0.0039382335,0.0031675156
107,2003,Delaware,6.15,8.65,5.15,7.24,6.15,8.65,6630.0,818166.0,5525.0,21.0,1441.0,6066.0,0.00810349,Unusually High,0.0039382335,0.006752908
108,2003,Florida,0.0,0.0,5.15,7.24,5.15,7.24,79594.0,16999180.0,124280.0,924.0,31523.0,170644.0,0.0046822256,Medium,0.0039382335,0.007310941
109,2003,Georgia,5.15,7.24,5.15,7.24,5.15,7.24,47208.0,8676460.0,39435.0,657.0,14043.0,79001.0,0.0054409285,High,0.0039382335,0.0045450563
110,2003,Hawaii,6.25,8.79,5.15,7.24,6.25,8.79,5499.0,1248755.0,3400.0,22.0,1168.0,11409.0,0.004403586,Medium,0.0039382335,0.0027227118
111,2003,Idaho,5.15,7.24,5.15,7.24,5.15,7.24,5558.0,1367034.0,3362.0,26.0,245.0,7837.0,0.0040657367,Medium,0.0039382335,0.0024593389
112,2003,Illinois,5.15,7.24,5.15,7.24,5.15,7.24,43418.0,12649087.0,70376.0,895.0,23786.0,78345.0,0.0034325006,Medium,0.0039382335,0.0055637215
113,2003,Indiana,5.15,7.24,5.15,7.24,5.15,7.24,21345.0,6199571.0,21842.0,338.0,6401.0,41582.0,0.00344298,Medium,0.0039382335,0.003523147
114,2003,Iowa,5.15,7.24,5.15,7.24,5.15,7.24,8546.0,2941976.0,8175.0,50.0,1131.0,17515.0,0.0029048503,Low,0.0039382335,0.0027787446
115,2003,Kansas,2.65,3.73,5.15,7.24,5.15,7.24,9168.0,2724786.0,10831.0,125.0,2247.0,21973.0,0.003364668,Medium,0.0039382335,0.003974991
116,2003,Kentucky,5.15,7.24,5.15,7.24,5.15,7.24,11660.0,4118189.0,10232.0,181.0,3224.0,26034.0,0.0028313417,Low,0.0039382335,0.0024845873
117,2003,Louisiana,0.0,0.0,5.15,7.24,5.15,7.24,19498.0,4493665.0,28622.0,584.0,7008.0,44572.0,0.0043389974,Medium,0.0039382335,0.006369411
118,2003,Maine,6.25,8.79,5.15,7.24,6.25,8.79,1974.0,1309205.0,1422.0,16.0,289.0,6579.0,0.0015077853,Low,0.0039382335,0.0010861553
119,2003,Maryland,5.15,7.24,5.15,7.24,5.15,7.24,23768.0,5512310.0,38778.0,525.0,13302.0,38641.0,0.0043118037,Medium,0.0039382335,0.0070348005
120,2003,Massachusetts,6.75,9.49,5.15,7.24,6.75,9.49,9828.0,6420357.0,30377.0,140.0,8011.0,34963.0,0.001530756,Low,0.0039382335,0.0047313566
121,2003,Michigan,5.15,7.24,5.15,7.24,5.15,7.24,49358.0,10082364.0,51550.0,612.0,11254.0,68316.0,0.004895479,Medium,0.0039382335,0.0051128883
122,2003,Minnesota,4.9,6.89,5.15,7.24,5.15,7.24,7569.0,5064172.0,13316.0,127.0,3906.0,27698.0,0.0014946174,Low,0.0039382335,0.0026294526
123,2003,Mississippi,0.0,0.0,5.15,7.24,5.15,7.24,15863.0,2882594.0,9336.0,267.0,3016.0,29564.0,0.0055030296,High,0.0039382335,0.0032387495
